feature,auc,auc_strength,direction,p_top,n_top,p_bottom,n_bottom,lift_top_vs_bottom,odds_ratio_top_vs_bottom
precio,0.967195011472819,0.967195011472819,↑,0.20256410256410257,4680,0.0,4800,,
ano,0.18572080382471384,0.8142791961752862,↓,0.010245901639344262,5856,0.1309823677581864,4764,0.07822352532240254,0.06868132486990086
year,0.18572080382471384,0.8142791961752862,↓,0.010245901639344262,5856,0.1309823677581864,4764,0.07822352532240254,0.06868132486990086
vintage_id,0.19907820693394698,0.800921793066053,↓,0.010256410256410256,4680,0.13076923076923078,4680,0.07843137959630905,0.06888144478464571
pagina,0.33530388092073504,0.664696119079265,↓,0.044226044226044224,4884,0.1272264631043257,4716,0.3476167127444402,0.31742931062661556
n_ratings,0.6082577846548566,0.6082577846548566,↑,0.07179487179487179,4680,0.023017902813299233,4692,3.119088227025708,3.2829956058081398
num_dias_temp_mayor30,0.42765038004107603,0.572349619958924,↓,0.04028436018957346,4642,0.04047093451066961,14949,0.9953899182526442,0.9951964086438323
humedad_relativa,0.5281604273111211,0.5281604273111211,↑,0.03875968992248062,4515,0.02592758158247653,4474,1.4949211249905274,1.5148776224600682
temp_media_mes,0.4815160259365139,0.5184839740634861,↓,0.041473684210526315,4750,0.04675876726886291,4705,0.8869712942833017,0.8820807483707505
precipitacion_total_mensual,0.48352496793658256,0.5164750320634175,↓,0.03302482120319731,4754,0.03935040599625234,4803,0.8392498254552369,0.8337597714761995
num_dias_temp_menor0,0.4837347161333538,0.5162652838666462,↑,0.049282595134123516,4809,0.03884595569294178,9705,1.268667329361412,1.2825943106133149
mes,0.48627532341006124,0.5137246765899388,↓,0.04158110882956879,5844,0.04158110882956879,5844,1.0,1.0
fecha_mes,,,↓,,0,,0,,
